class,kind,call,file,line,enclosing,jp_sym,jp_addr,jp_size,reason,code
SUSPECT,setter,setFrameRate,Enemy/bossManta.cpp,368,TBossManta::startWalkAnim,,,,raw/computed rate (),getMActor()->setFrameRate(
SUSPECT,setter,setFrameRate,Enemy/bossManta.cpp,375,TBossManta::startDamageAnim,,,,raw/computed rate (),getMActor()->setFrameRate(
SUSPECT,setter,setFrameRate,Enemy/bosseel.cpp,902,TBossEelTooth::perform,perform__13TBossEelToothFUlPQ26JDrama9TGraphics,0x802e8b84,0x610,raw/computed rate (),mSharedParts->getMActor()->setFrameRate(
SUSPECT,setter,setRate,Enemy/bossgesso.cpp,1597,TBossGessoManager::load,load__17TBossGessoManagerFR20JSUMemoryInputStream,0x802884c0,0x74,raw literal rate 1.0f (4x fast at 120fps),ctrl4->setRate(1.0f);
SUSPECT,setter,setRate,Enemy/hinokuri2.cpp,748,THinokuri2::changeBck,changeBck__10THinokuri2Fi,0x8026fc2c,0x21c,raw param rate (getSaveParam()->mSLWalkSpeedRateLv0.get()),pJVar7->setRate(getSaveParam()->mSLWalkSpeedRateLv0.get());
SUSPECT,setter,setRate,Enemy/hinokuri2.cpp,750,THinokuri2::changeBck,changeBck__10THinokuri2Fi,0x8026fc2c,0x21c,raw literal rate 1.0f (4x fast at 120fps),pJVar7->setRate(1.0f);
SUSPECT,setter,setRate,GC2D/Option.cpp,176,TBalloonControl::setupAnm,setupAnm__18TPatternAnmControlFv,0x80247440,0x12c,raw literal rate 1.0f (4x fast at 120fps),mFrameCtrl.setRate(1.0f);
SUSPECT,setter,setRate,GC2D/Option.cpp,179,TBalloonControl::setupAnm,setupAnm__18TPatternAnmControlFv,0x80247440,0x12c,raw literal rate 1.0f (4x fast at 120fps),void TBalloonControl::startAnm() { mFrameCtrl.setRate(1.0f); }
SUSPECT,setter,setRate,GC2D/Option.cpp,202,TPaneScalingControl::setupAnm,setupAnm__18TPatternAnmControlFv,0x80247440,0x12c,raw/computed rate (speed),mFrameCtrl.setRate(speed);
SUSPECT,setter,setRate,GC2D/Option.cpp,205,TPaneScalingControl::setupAnm,setupAnm__18TPatternAnmControlFv,0x80247440,0x12c,raw literal rate 1.0f (4x fast at 120fps),void TPaneScalingControl::startAnm() { mFrameCtrl.setRate(1.0f); }
SUSPECT,setter,setRate,GC2D/Option.cpp,261,TPatternAnmControl::setupAnm,setupAnm__18TPatternAnmControlFv,0x80247440,0x12c,raw literal rate 1.0f (4x fast at 120fps),mFrameCtrl.setRate(1.0f);
SUSPECT,setter,setRate,GC2D/Option.cpp,531,TOptionSoundUnit,,,,raw literal rate 1.0f (4x fast at 120fps),mMusicFrameCtrl.setRate(1.0f);
SUSPECT,setter,setRate,MoveBG/MapObjBase.cpp,341,TMapObjBase::makeObjAppeared,makeObjAppeared__11TMapObjBaseFv,0x8018880c,0x308,raw literal rate 1.0f (4x fast at 120fps),ctrl->setRate(1.0f);
SUSPECT,setter,setRate,MoveBG/MapObjSirena.cpp,886,TDonchou::calcRootMatrix,calcRootMatrix__8TDonchouFv,0x801a154c,0x204,raw/computed rate (0.5f * fc->getRate()),fc->setRate(0.5f * fc->getRate());
SUSPECT,setter,setFrameRate,NPC/NpcAnm.cpp,289,TBaseNPC::walkAnmRateChange_,walkAnmRateChange___8TBaseNPCFv,0x80169a78,0x42c,raw/computed rate (unk1D0),"mMActor->setFrameRate(unk1D0, 0);"
SUSPECT,setter,setFrameRate,NPC/NpcAnm.cpp,291,TBaseNPC::walkAnmRateChange_,walkAnmRateChange___8TBaseNPCFv,0x80169a78,0x42c,raw/computed rate (unk1D0),"mMActor->setFrameRate(unk1D0, 0);"
SUSPECT,setter,setFrameRate,NPC/NpcAnm.cpp,339,TBaseNPC::walkAnmRateChange_,walkAnmRateChange___8TBaseNPCFv,0x80169a78,0x42c,raw/computed rate (unk1D0),"mMActor->setFrameRate(unk1D0, 0);"
SUSPECT,setter,setFrameRate,NPC/NpcBase.cpp,693,TBaseNPC::perform,perform__8TBaseNPCFUlPQ26JDrama9TGraphics,0x8016ad74,0x7e8,raw/computed rate (),mMActor->setFrameRate(
SUSPECT,setter,setRate,Player/MarioAutodemo.cpp,354,TMario::toroccoStart,toroccoStart__6TMarioFv,0x8011f738,0xc4,raw literal rate 0.5f (4x fast at 120fps),mPinaRail->getFrameCtrl(0)->setRate(0.5f);
SUSPECT,setter,setRate,Player/MarioAutodemo.cpp,360,TMario::toroccoStart,toroccoStart__6TMarioFv,0x8011f738,0xc4,raw literal rate 0.5f (4x fast at 120fps),mKoopaRail->getFrameCtrl(0)->setRate(0.5f);
SUSPECT,setter,setRate,Player/MarioDraw.cpp,1065,TMario::setAnimation,setAnimation__6TMarioFif,0x80126948,0x39c,raw/computed rate (rate * 0.5f),getMotionFrameCtrl().setRate(rate * 0.5f);
SUSPECT,setter,setRate,Player/MarioDraw.cpp,1066,TMario::setAnimation,setAnimation__6TMarioFif,0x80126948,0x39c,raw/computed rate (rate * 0.5f),mModel->getFrameCtrl(2).setRate(rate * 0.5f);
SUSPECT,setter,setRate,Player/MarioDraw.cpp,1080,TMario::setReverseAnimation,setReverseAnimation__6TMarioFif,0x8012688c,0xbc,raw/computed rate (rate * -0.5f),motionFrameCtrl.setRate(rate * -0.5f);
SUSPECT,setter,setRate,Player/MarioDraw.cpp,1084,TMario::setReverseAnimation,setReverseAnimation__6TMarioFif,0x8012688c,0xbc,raw/computed rate (rate * -0.5f),otherFrameCtrl.setRate(rate * -0.5f);
SUSPECT,setter,setRate,Player/MarioDraw.cpp,1348,TMario::initModel,initModel__6TMarioFv,0x8012582c,0xf90,raw literal rate 0.5f (4x fast at 120fps),mPinaRail->getFrameCtrl(0)->setRate(0.5f);
SUSPECT,setter,setRate,Player/MarioDraw.cpp,1373,TMario::initModel,initModel__6TMarioFv,0x8012582c,0xf90,raw literal rate 0.5f (4x fast at 120fps),mKoopaRail->getFrameCtrl(0)->setRate(0.5f);
SUSPECT,setter,setRate,Player/MarioDraw.cpp,1851,TMario::setUpperDamageRun,setUpperDamageRun__6TMarioFv,0x80124238,0x98,raw literal rate 1.0f (4x fast at 120fps),frameCtrl.setRate(1.0f);
SUSPECT,setter,setRate,Player/MarioDraw.cpp,1852,TMario::setUpperDamageRun,setUpperDamageRun__6TMarioFv,0x80124238,0x98,raw literal rate 0.5f (4x fast at 120fps),frameCtrl.setRate(0.5f);
SUSPECT,setter,setRate,Player/MarioDraw.cpp,1889,TMario::addUpper,addUpper__6TMarioFv,0x80124084,0x1b4,raw/computed rate (mPumpAnmRate),frameCtrl.setRate(mPumpAnmRate);
SUSPECT,setter,setRate,Player/MarioDraw.cpp,1894,TMario::addUpper,addUpper__6TMarioFv,0x80124084,0x1b4,raw/computed rate (-mPumpAnmRate),frameCtrl.setRate(-mPumpAnmRate);
SUSPECT,setter,setRate,Player/MarioDraw.cpp,1964,TMario::calcAnim,calcAnim__6TMarioFUlPQ26JDrama9TGraphics,0x80123a10,0x674,raw/computed rate (),yoshiActor->getFrameCtrl(0)->setRate(
SUSPECT,setter,setRate,Player/MarioDraw.cpp,1974,TMario::calcAnim,calcAnim__6TMarioFUlPQ26JDrama9TGraphics,0x80123a10,0x674,raw literal rate 0.5f (4x fast at 120fps),yoshiActor->getFrameCtrl(0)->setRate(0.5f);
