class,kind,usa_addr,enclosing_func,func_name,note
SUSPECT,getFrameCtrl+stfs,0x800955cc,0x8009548c,,raw rate <- lfs +0x16c(r3) (4x fast at 120fps)
SUSPECT,getFrameCtrl+stfs,0x8011763c,0x801175fc,,raw rate <- lfs +0x188(r31) (4x fast at 120fps)
SUSPECT,getFrameCtrl+stfs,0x801176ec,0x801176bc,,raw rate <- lfs +0x188(r31) (4x fast at 120fps)
SUSPECT,getFrameCtrl+stfs,0x8013b6c4,0x8013b668,,raw rate <- lfs +0x1bc(r5) (4x fast at 120fps)
SUSPECT,getFrameCtrl+stfs,0x8013c24c,0x8013c1cc,,raw rate <- lfs +0x194(r3) (4x fast at 120fps)
SUSPECT,getFrameCtrl+stfs,0x8013c3ac,0x8013c30c,,raw rate <- lfs +0x1e4(r5) (4x fast at 120fps)
SUSPECT,getFrameCtrl+stfs,0x8013c408,0x8013c30c,,raw rate <- lfs +0x1e4(r5) (4x fast at 120fps)
SUSPECT,getFrameCtrl+stfs,0x8013c46c,0x8013c30c,,raw rate <- lfs +0x1e4(r5) (4x fast at 120fps)
SUSPECT,getFrameCtrl+stfs,0x8013c4e8,0x8013c490,,raw rate <- lfs +0x298(r5) (4x fast at 120fps)
SUSPECT,getFrameCtrl+stfs,0x8013c584,0x8013c52c,,raw rate <- lfs +0x1d0(r5) (4x fast at 120fps)
SUSPECT,getFrameCtrl+stfs,0x8013c620,0x8013c5c8,,raw rate <- lfs +0x1a8(r5) (4x fast at 120fps)
SUSPECT,setFrameRate,0x802054d8,0x80205354,,raw rate <- lfs +0x1d0(r31) (4x fast at 120fps)
SUSPECT,setFrameRate,0x802054ec,0x80205354,,raw rate <- lfs +0x1d0(r31) (4x fast at 120fps)
SUSPECT,setFrameRate,0x80205624,0x80205354,,raw rate <- lfs +0x1d0(r31) (4x fast at 120fps)
SUSPECT,getFrameCtrl+stfs,0x80244b88,0x80244800,,raw rate <- lfs +0xc(r5) (4x fast at 120fps)
SUSPECT,getFrameCtrl+stfs,0x80270204,0x8026fe38,,raw rate <- lfs +0x120(r1) (4x fast at 120fps)
SUSPECT,setFrameRate,0x8004e3d4,0x8004e328,,"computed raw rate (fmuls f0,f0); no AnmFrameRate feed"
SUSPECT,setFrameRate,0x800abf4c,0x800abee4,,"computed raw rate (fmuls f0,f0); no AnmFrameRate feed"
SUSPECT,getFrameCtrl+stfs,0x800ae20c,0x800ae188,,"computed raw rate (fmuls f2,f0); no AnmFrameRate feed"
SUSPECT,getFrameCtrl+stfs,0x800d05b4,0x800d04f4,,"computed raw rate (fmuls f0,f0); no AnmFrameRate feed"
SUSPECT,getFrameCtrl+stfs,0x800d07b8,0x800d06ec,,"computed raw rate (fmuls f0,f0); no AnmFrameRate feed"
SUSPECT,getFrameCtrl+stfs,0x800d08b0,0x800d06ec,,"computed raw rate (fmuls f0,f0); no AnmFrameRate feed"
SUSPECT,getFrameCtrl+stfs,0x800d0b78,0x800d06ec,,"computed raw rate (fmuls f0,f0); no AnmFrameRate feed"
SUSPECT,getFrameCtrl+stfs,0x800d0e24,0x800d0d10,,"computed raw rate (fmuls f0,f0); no AnmFrameRate feed"
SUSPECT,getFrameCtrl+stfs,0x800d1140,0x800d0d10,,"computed raw rate (fmuls f0,f0); no AnmFrameRate feed"
SUSPECT,getFrameCtrl+stfs,0x800d1308,0x800d1250,,"computed raw rate (fmuls f0,f0); no AnmFrameRate feed"
SUSPECT,getFrameCtrl+stfs,0x800d1494,0x800d1250,,"computed raw rate (fmuls f0,f0); no AnmFrameRate feed"
SUSPECT,getFrameCtrl+stfs,0x800d15d8,0x800d1250,,"computed raw rate (fmuls f0,f0); no AnmFrameRate feed"
SUSPECT,getFrameCtrl+stfs,0x800d1cb0,0x800d1bb4,,"computed raw rate (fmuls f0,f0); no AnmFrameRate feed"
SUSPECT,getFrameCtrl+stfs,0x800d1d80,0x800d1bb4,,"computed raw rate (fmuls f0,f0); no AnmFrameRate feed"
SUSPECT,getFrameCtrl+stfs,0x800d2094,0x800d1fb8,,"computed raw rate (fmuls f0,f0); no AnmFrameRate feed"
SUSPECT,getFrameCtrl+stfs,0x800d237c,0x800d1fb8,,"computed raw rate (fmuls f0,f0); no AnmFrameRate feed"
SUSPECT,getFrameCtrl+stfs,0x800d2450,0x800d1fb8,,"computed raw rate (fmuls f0,f0); no AnmFrameRate feed"
SUSPECT,getFrameCtrl+stfs,0x800d2510,0x800d1fb8,,"computed raw rate (fmuls f0,f0); no AnmFrameRate feed"
SUSPECT,getFrameCtrl+stfs,0x800d2728,0x800d262c,,"computed raw rate (fmuls f0,f0); no AnmFrameRate feed"
SUSPECT,getFrameCtrl+stfs,0x800d2af0,0x800d2a38,,"computed raw rate (fmuls f0,f0); no AnmFrameRate feed"
SUSPECT,getFrameCtrl+stfs,0x800d2fa4,0x800d2eac,,"computed raw rate (fmuls f0,f0); no AnmFrameRate feed"
SUSPECT,getFrameCtrl+stfs,0x800d3368,0x800d32b4,,"computed raw rate (fmuls f0,f0); no AnmFrameRate feed"
SUSPECT,setFrameRate,0x800d87c8,0x800d872c,,"computed raw rate (fmuls f31,f0); no AnmFrameRate feed"
SUSPECT,setFrameRate,0x800d8c5c,0x800d8ba4,,"computed raw rate (fmuls f0,f0); no AnmFrameRate feed"
SUSPECT,setFrameRate,0x800d8c94,0x800d8ba4,,"computed raw rate (fmuls f31,f0); no AnmFrameRate feed"
SUSPECT,getFrameCtrl+stfs,0x800e8a2c,0x800e8898,,"computed raw rate (fdivs f0,f2); no AnmFrameRate feed"
SUSPECT,setFrameRate,0x8011365c,0x80113548,,"computed raw rate (fmuls f0,f0); no AnmFrameRate feed"
