severity,provenance,func_addr,space,func_name,site_addr_or_loc,detail
PARAM,BINARY,0x8013c30c,USA,0x8013c30c,0x8013c3ac,raw rate <- lfs +0x1e4(r5) (4x fast at 120fps)
PARAM,BINARY,0x8013c30c,USA,0x8013c30c,0x8013c408,raw rate <- lfs +0x1e4(r5) (4x fast at 120fps)
PARAM,BINARY,0x8013c30c,USA,0x8013c30c,0x8013c46c,raw rate <- lfs +0x1e4(r5) (4x fast at 120fps)
PARAM,BINARY,0x80205354,USA,0x80205354,0x802054d8,raw rate <- lfs +0x1d0(r31) (4x fast at 120fps)
PARAM,BINARY,0x80205354,USA,0x80205354,0x802054ec,raw rate <- lfs +0x1d0(r31) (4x fast at 120fps)
PARAM,BINARY,0x80205354,USA,0x80205354,0x80205624,raw rate <- lfs +0x1d0(r31) (4x fast at 120fps)
PARAM,BINARY,0x80244800,USA,0x80244800,0x80244b88,raw rate <- lfs +0xc(r5) (4x fast at 120fps)
CONSTANT,BINARY,0x80244800,USA,0x80244800,0x80244bc8,raw rate <- constant nan (4x fast at 120fps)  [r2-0x110c=0x80415a74]
PARAM,BINARY,0x8009548c,USA,0x8009548c,0x800955cc,raw rate <- lfs +0x16c(r3) (4x fast at 120fps)
PARAM,BINARY,0x801175fc,USA,0x801175fc,0x8011763c,raw rate <- lfs +0x188(r31) (4x fast at 120fps)
PARAM,BINARY,0x801176bc,USA,0x801176bc,0x801176ec,raw rate <- lfs +0x188(r31) (4x fast at 120fps)
PARAM,BINARY,0x8013b668,USA,0x8013b668,0x8013b6c4,raw rate <- lfs +0x1bc(r5) (4x fast at 120fps)
PARAM,BINARY,0x8013c1cc,USA,0x8013c1cc,0x8013c24c,raw rate <- lfs +0x194(r3) (4x fast at 120fps)
PARAM,BINARY,0x8013c490,USA,0x8013c490,0x8013c4e8,raw rate <- lfs +0x298(r5) (4x fast at 120fps)
PARAM,BINARY,0x8013c52c,USA,0x8013c52c,0x8013c584,raw rate <- lfs +0x1d0(r5) (4x fast at 120fps)
PARAM,BINARY,0x8013c5c8,USA,0x8013c5c8,0x8013c620,raw rate <- lfs +0x1a8(r5) (4x fast at 120fps)
PARAM,BINARY,0x8026fe38,USA,0x8026fe38,0x80270204,raw rate <- lfs +0x120(r1) (4x fast at 120fps)
PARAM,SOURCE,0x8026fc2c,JP,THinokuri2::changeBck,Enemy/hinokuri2.cpp:748,raw param rate (getSaveParam()->mSLWalkSpeedRateLv0.get())
CONSTANT,SOURCE,0x8026fc2c,JP,THinokuri2::changeBck,Enemy/hinokuri2.cpp:750,raw literal rate 1.0f (4x fast at 120fps)
MISUSE,SOURCE,0x80365c6c,JP,TAnimalBase::execWalk,Animal/AnimalBase.cpp:271,arithmetic on rate: ...SLMaxMarchSpeed.get() * <<>>SMSGetAnmFrameRate();...
MISUSE,SOURCE,0x80365c6c,JP,TAnimalBase::execWalk,Animal/AnimalBase.cpp:272,arithmetic on rate: ...->mSLMarchAccel.get() * <<>>SMSGetAnmFrameRate()...
MISUSE,SOURCE,0x80365c6c,JP,TAnimalBase::execWalk,Animal/AnimalBase.cpp:276,arithmetic on rate: ...SLMarchDecrease.get() * <<>>SMSGetAnmFrameRate()...
MISUSE,SOURCE,0x80365c6c,JP,TAnimalBase::execWalk,Animal/AnimalBase.cpp:283,arithmetic on rate: ...nSpeed    = waitSpeed * <<>>SMSGetAnmFrameRate();...
MISUSE,SOURCE,0x80365c6c,JP,TAnimalBase::execWalk,Animal/AnimalBase.cpp:286,arithmetic on rate: ...nSpeed    = walkSpeed * <<>>SMSGetAnmFrameRate();...
MISUSE,SOURCE,0x802eb298,JP,TBEelTears::getBasNameTable,Enemy/bosseel.cpp:545,"arithmetic on rate: ...tFrameRate(-frameRate * <<>>SMSGetAnmFrameRate(), 0);..."
MISUSE,SOURCE,0x802eb298,JP,TBEelTears::getBasNameTable,Enemy/bosseel.cpp:550,"arithmetic on rate: ...etFrameRate(frameRate * <<>>SMSGetAnmFrameRate(), 0);..."
MISUSE,SOURCE,0x802eb298,JP,TBEelTears::getBasNameTable,Enemy/bosseel.cpp:602,"arithmetic on rate: ...etFrameRate(frameRate * <<>>SMSGetAnmFrameRate(), 0);..."
MISUSE,SOURCE,,JP,TBossManta::startWalkAnim,Enemy/bossManta.cpp:369,"arithmetic on rate: ...rameRate[mGeneration] * <<>>SMSGetAnmFrameRate(), 0);..."
COMPUTED,SOURCE,,JP,TBossManta::startWalkAnim,Enemy/bossManta.cpp:368,raw/computed rate ()
MISUSE,SOURCE,,JP,TBossManta::startDamageAnim,Enemy/bossManta.cpp:376,"arithmetic on rate: ...rameRate[mGeneration] * <<>>SMSGetAnmFrameRate(), 0);..."
COMPUTED,SOURCE,,JP,TBossManta::startDamageAnim,Enemy/bossManta.cpp:375,raw/computed rate ()
MISUSE,SOURCE,0x8016ad74,JP,TBaseNPC::perform,NPC/NpcBase.cpp:692,compared as timing: ...f32 rate = <<>>SMSGetAnmFrameRate();...
COMPUTED,SOURCE,0x8016ad74,JP,TBaseNPC::perform,NPC/NpcBase.cpp:693,raw/computed rate ()
MISUSE,SOURCE,0x80199fe0,JP,TManhole::touchPlayer,MoveBG/MapObjTown.cpp:86,arithmetic on rate: ...meCtrl(0)->getFrame() + <<>>SMSGetAnmFrameRate());...
MISUSE,SOURCE,0x80199fe0,JP,TManhole::touchPlayer,MoveBG/MapObjTown.cpp:98,arithmetic on rate: ...meCtrl(0)->getFrame() + <<>>SMSGetAnmFrameRate());...
MISUSE,SOURCE,0x801466f4,JP,TSplashManager::load,Player/SplashManager.cpp:24,arithmetic on rate: ...unk638 = (<<>>SMSGetAnmFrameRate() * -0.5f) *...
MISUSE,SOURCE,0x801466f4,JP,TSplashManager::load,Player/SplashManager.cpp:24,arithmetic on rate: ...mFrameRate() * -0.5f) * <<>>SMSGetAnmFrameRate();...
MISUSE,SOURCE,0x800fc380,JP,TMarioGamePad::reset,System/MarioGamePad.cpp:8,"arithmetic on rate: ...peat(0xf00000f, 20.0f / <<>>SMSGetAnmFrameRate(),..."
MISUSE,SOURCE,0x800fc380,JP,TMarioGamePad::reset,System/MarioGamePad.cpp:9,arithmetic on rate: ...6.0f / <<>>SMSGetAnmFrameRate());...
MISUSE,SOURCE,0x80366ba0,JP,TAnimalBase::init,Animal/AnimalBase.cpp:75,arithmetic on rate: ...TurnSpeed = turnSpeed * <<>>SMSGetAnmFrameRate();...
MISUSE,SOURCE,0x80313eac,JP,TBGTentacle::setAttackTarget,Enemy/bgtentacle.cpp:755,arithmetic on rate: ...ner->getAttackSpeed() * <<>>SMSGetAnmFrameRate());...
MISUSE,SOURCE,0x80261928,JP,TBossEel::setBckAnm,Enemy/bosseel.cpp:1923,arithmetic on rate: ...trl(0)->setRate(0.25f * <<>>SMSGetAnmFrameRate());...
MISUSE,SOURCE,0x800cf318,JP,TMultiBtk::setNthData,MarioUtil/ModelUtil.cpp:38,arithmetic on rate: ...unk0c[n].setRate(0.5f * <<>>SMSGetAnmFrameRate());...
