# cam @ 0x815a9224
t	mode	ratio	E	aCnt	eCnt	dCnt	dLast	cCnt	cLast	posTy	u18y	eyeY	atY
   0.00	0	0.087	0	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	694	694	716	543
   0.12	0	0.000	564	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	575	575	590	514
   0.25	0	0.000	1923	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	485	485	499	495
   0.37	0	0.000	3284	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	394	445	489
   0.50	0	0.000	4555	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	310	444	512
   0.64	0	0.000	6190	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	204	444	573
   0.79	0	0.000	7825	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	106	444	650
   0.94	0	-0.000	8338	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	76	444	724
   1.08	0	-0.000	8338	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	247	444	628
   1.22	0	-0.000	8338	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	362	444	617
   1.36	0	-0.000	8338	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	396	444	639
   1.47	0	-0.000	8338	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	377	444	649
   1.61	0	-0.000	8338	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	288	444	636
   1.74	0	-0.000	8338	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	138	444	581
   1.89	0	-0.000	8338	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	174	444	510
   2.01	0	0.000	7524	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	289	444	509
   2.14	0	0.000	6076	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	396	444	520
   2.29	0	0.000	4447	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	444	444	520
   2.43	0	0.000	3002	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	422	444	484
   2.55	0	0.000	1648	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	503	503	490	470
   2.70	0	0.000	24	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	611	611	597	467
   2.85	0	0.168	0	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	769	769	745	474
   2.99	0	0.229	0	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	837	837	846	495
   3.08	0	0.135	0	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	741	741	763	500
   3.20	0	0.000	108	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	606	606	626	492
   3.35	0	0.000	1743	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	496	496	511	478
   3.48	0	0.000	3109	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	405	446	476
   3.63	0	0.000	4748	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	297	444	512
   3.77	0	0.000	6296	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	198	444	573
   3.86	0	0.000	7298	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	137	444	621
   4.01	0	0.000	8937	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	70	444	633
   4.15	0	-0.000	9639	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	59	444	546
   4.21	0	-0.000	9639	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	50	444	520
   4.35	0	-0.000	9639	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	7	444	474
   4.50	0	-0.000	9639	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	104	444	462
   4.65	0	-0.000	9639	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	183	444	483
   4.80	0	-0.000	9639	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	181	444	508
   4.95	0	-0.000	9639	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	98	444	503
   5.10	0	0.000	9620	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	8	444	470
   5.25	0	0.000	8093	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	90	444	467
   5.40	0	-0.000	6946	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	158	444	465
   5.55	0	0.000	8340	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	76	444	465
   5.70	0	0.000	9886	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	-6	444	464
   5.85	0	0.000	10923	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	-55	444	464
   6.00	0	0.000	10923	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	-55	444	464
   6.15	0	0.000	10923	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	-55	444	465
   6.30	0	0.000	9860	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	-4	444	465
   6.43	0	0.000	8404	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	73	444	464
   6.58	0	0.000	6764	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	169	444	464
   6.72	0	0.000	5216	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	266	444	462
   6.87	0	0.000	3668	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	368	444	462
   7.02	0	0.000	2029	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	453	477	450	461
   7.17	0	0.000	390	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	480	587	477	461
   7.32	0	0.130	0	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	624	729	599	467
